id;nombre;contacto;fecha_fin_obra;elementos_de_red;clientes_catv;clientes_fibertel;clientes_fibertel_lite;clientes_flow;clientes_combo;lineas_voz;meses_de_finalizado;altas_bc;penetracion_viv_lot;penetracion_bc;demanda_1;demanda_2;demanda_3;demanda_4;lotes;viviendas;com_prof;habitaciones;manzanas;demanda;fecha_de_relevamiento;telefono;ano_priorizacion;contrato_open;negociacion;estado_bc;fecha;codigo_de_firma;fecha_firma;observaciones;comentario;estado_firma
1;Frozen 1080p black;Connecticut Harbors;2021-04-05;Officer;Gorgeous;Granite;deposit San;hacking Orchestrator;Buckinghamshire Borders;Spurs Stravenue Handcrafted;invoice;PCI Rubber;yellow copy well-modulated;Italy;Auto;transmit;scalable;Pizza revolutionize Sleek;bandwidth Pound;IB;Loan (customarily Island;Village killer Union;neural Sleek optical;Buckinghamshire;2021-04-05;impactful Intelligent;2021-04-05;indexing navigating deposit;false;Bike;2021-04-05;viral;2021-04-05;Sleek redundant;synthesize Sleek New;impactful Afghani
2;bluetooth integrated Borders;24/365 target Tennessee;2021-04-04;Somali;embrace;Algeria;implementation;up Fork Loan;payment;white Berkshire;Generic;Tuna;system program;program Technician transmit;Berkshire encompassing;Account Avon Unbranded;facilitate;application Malawi methodologies;Frozen Usability;solution-oriented cross-platform Street;Territories;Wooden;content Fresh Architect;fuchsia;2021-04-05;Account haptic;2021-04-05;Industrial;true;Yemeni;2021-04-04;Computers portals;2021-04-05;XML primary Jersey;deposit Configuration Generic;secondary Manat
3;relationships;Ergonomic;2021-04-05;web-readiness;Marketing;Unbranded;target Savings;Yen;programming;deposit Engineer;Virginia;calculate Metal bluetooth;open-source;circuit Assistant extranet;iterate deposit;global;Cambridgeshire Licensed;Product;Maine Small payment;HDD card;ubiquitous;Andorra;XSS Tala;Research Account;2021-04-05;Jersey Dollar;2021-04-05;orange Buckinghamshire;true;invoice high-level Fantastic;2021-04-04;full-range cultivate;2021-04-04;Meadow frame SMTP;drive;whiteboard Pula Granite
4;Gibraltar lime;Spur;2021-04-05;collaboration;schemas Keyboard Riyal;Account;navigate;HDD Wooden;Intelligent reboot Strategist;Ball Agent;Plastic;Ball;Buckinghamshire Rubber;Macao;application;Account;Director cyan;Isle Account;Phased Berkshire;Gorgeous Andorra transmit;SAS platforms embrace;Hill;Branding;Public-key;2021-04-05;empower Utah;2021-04-04;Plastic;false;Manors;2021-04-05;Clothing Bike;2021-04-04;Chips;Communications synergy Bacon;Cambridgeshire communities deploy
5;deploy Kentucky;generate Bike;2021-04-05;microchip standardization explicit;systems Organic Operative;up;Health Liaison;Intelligent;process;protocol up;web-enabled Loan;content back-end Interactions;hardware Parks;schemas intangible Greece;Unit Pizza Manager;Indiana SSL infomediaries;open-source panel Diverse;channels America;compressing;interface Soft Account;invoice;Borders white;deliverables;Rufiyaa redundant transmit;2021-04-04;GB;2021-04-05;revolutionary Fantastic Tools;true;ivory American Belarus;2021-04-05;Designer Officer;2021-04-05;zero Drive;web back-end Chips;parse
6;digital neural;International;2021-04-05;well-modulated Credit Universal;tan;up;Handmade;invoice program Cotton;Tuna Investor;Chips connect;algorithm plug-and-play Tasty;Auto asynchronous;JSON;technologies cross-platform SCSI;Analyst Integration integrated;Soft Consultant;deposit Avon RSS;Vision-oriented;Czech Steel Haven;Soft navigating matrix;Tasty;Tennessee explicit;Rustic SAS Mariana;solution-oriented;2021-04-05;transparent Iowa;2021-04-05;vortals;true;Engineer;2021-04-04;dot-com Garden black;2021-04-05;Awesome Minnesota Functionality;transmit quantify;invoice
7;Optional Lock out-of-the-box;Human grey zero;2021-04-04;Mall expedite Agent;web payment;Yuan Factors copying;Credit Cambridgeshire deposit;channels;transform e-enable;Group solutions utilisation;Cheese;Supervisor;XSS Ergonomic bus;Investor port;Applications Triple-buffered;ADP International;Pants Sausages;emulation;Lanka Shoes;Product upward-trending Shoes;Fantastic;Steel Designer;Coordinator synthesize;Clothing;2021-04-05;Garden morph;2021-04-04;Clothing;true;process Hat reintermediate;2021-04-05;fuchsia application system;2021-04-05;Automotive zero;Faroe;Chad
8;gold;Texas transition support;2021-04-05;purple Synergistic;dot-com;reboot value-added;Facilitator;indigo turn-key Auto;Implementation;Functionality;alarm cross-platform Towels;solid EXE;Assurance;Upgradable Investment;parse Mississippi Architect;Vermont composite Guinea;evolve innovate;Shoes Jewelery;synthesizing hacking;Frozen silver payment;override ADP Bedfordshire;ROI hack;lime Program;metrics analyzing;2021-04-05;CSS Gorgeous;2021-04-05;compressing Roads;false;Krone Up-sized Account;2021-04-05;ability;2021-04-05;IB;SQL Haven blue;tan calculate Keyboard
9;Incredible Grass-roots;bi-directional Realigned;2021-04-05;Montana;Table;salmon Generic Brunei;disintermediate;Chips matrix Turkmenistan;Chief Generic Fantastic;Kazakhstan;Towels;Interactions Plaza extensible;navigating;invoice Bhutan Personal;Interactions Beauty;Savings;Savings;Wisconsin;Assistant;bypassing;SQL intuitive;payment matrix override;Ford Dollar;transmitting;2021-04-05;Salad invoice Factors;2021-04-05;Switzerland stable;true;Cambridgeshire;2021-04-05;Mandatory;2021-04-05;Incredible B2C;silver neural Director;Solutions withdrawal Cambridgeshire
10;recontextualize;Gorgeous;2021-04-04;Metrics Dollar;e-services copy;Dollar;Forward;Corporate;metrics Steel methodologies;Agent;Maine Auto PNG;rich iterate Rubber;programming Gloves;invoice Compatible;Bermuda invoice Generic;synthesizing Chair;virtual white Loan;Puerto;synthesize integrated;cross-platform North Intelligent;Salad Turkmenistan well-modulated;Borders;networks Parkways Garden;olive Human Incredible;2021-04-05;non-volatile ROI evolve;2021-04-05;Granite virtual withdrawal;false;Neck Hawaii capacitor;2021-04-05;International;2021-04-04;back Liaison;Incredible override;program
